food item,price,calories,serving_size,total_fat,saturated_fat,cholesterol,sodium,total_carbohydrate,dietary_fiber,sugars,protein,notes
"Hawaiian Luau, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",15.49,145,380,160,18,35,860,39,2,4,15,
"Dan's Original, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",18.99,154,420,200,22,40,880,37,2,3,17,
"Triple Meat Italiano, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",18.99,146,420,200,23,45,1000,37,2,3,18,
"Spicy Sicilian, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",18.99,148,400,180,21,35,960,38,2,3,16,
"Ultimate Cheese Lover's, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",18.99,129,400,190,21,40,800,36,2,3,16,
"Cheese Only, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",13.99,88,260,100,11,35,740,29,1,5,12,
"Pepperoni, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",15.99,86,280,120,13,35,850,28,1,5,13,
"Supreme, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",18.99,120,330,150,17,45,930,30,2,5,15,
"Pepperoni & Mushroom, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",18.99,99,260,100,11,30,740,29,1,5,12,
"Italian Sausage & Red Onion, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",18.99,110,300,120,14,35,780,30,1,6,13,
"Ham & Pineapple, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",18.99,100,240,80,9,25,750,31,1,7,11,
"Veggie Lover's®, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",18.99,117,240,80,9,20,710,30,2,6,10,
"Meat Lover's®, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",18.99,117,390,200,23,60,1210,28,1,5,18,
"Pepperoni Lover's®, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",18.99,104,350,170,18,55,1080,29,1,5,17,
"Hawaiian Luau, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",15.49,110,300,120,14,35,900,31,1,7,13,
"Dan's Original, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",18.99,115,320,150,16,40,890,29,1,5,15,
"Triple Meat Italiano, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",18.99,103,320,150,17,45,1000,28,1,5,15,
"Spicy Sicilian, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",18.99,110,300,130,15,35,1020,30,2,5,13,
"Ultimate Cheese Lover's, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",18.99,88,300,130,15,40,800,28,1,5,14,
"Cheese Only, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",13.99,123,320,100,12,35,800,38,2,5,15,
"Pepperoni, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",15.99,121,330,120,14,35,910,38,2,5,15,
"Supreme, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99,152,380,150,17,45,990,39,2,6,17,
"Pepperoni & Mushroom, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99,131,310,100,11,30,800,38,2,5,14,
"Italian Sausage & Red Onion, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99,142,350,130,14,35,840,40,2,6,15,
"Ham & Pineapple, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99,131,290,80,9,25,810,40,2,7,13,
"Veggie Lover's®, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99,144,290,80,9,25,760,39,2,6,13,
"Meat Lover's®, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99,153,440,200,23,60,1250,38,2,5,20,
"Pepperoni Lover's®, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99,140,400,170,19,55,1130,39,2,5,19,
"Hawaiian Luau, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",15.49,140,340,120,13,35,930,40,2,7,15,
"Dan's Original, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99,147,370,150,17,40,950,38,2,5,17,
"Triple Meat Italiano, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99,139,380,150,17,45,1060,38,2,5,18,
"Spicy Sicilian, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99,142,350,140,15,40,1040,39,2,6,15,
"Ultimate Cheese Lover's, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99,118,350,140,15,40,840,37,1,5,16,
"Cheese Only Garlic Parmesan, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99,124,320,110,12,35,840,39,2,5,15,
"Pepperoni Garlic Parmesan, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99,122,340,130,14,35,940,38,2,5,15,
"Supreme Garlic Parmesan, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99,153,380,160,17,45,1030,40,2,6,17,
"Pepperoni & Mushroom Garlic Parmesan, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99,132,320,100,11,30,840,39,2,5,14,
"Italian Sausage & Red Onion Garlic Parmesan, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99,143,350,130,15,35,870,40,2,6,15,
"Ham & Pineapple Garlic Parmesan, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99,133,300,80,9,25,840,41,2,7,14,
"Veggie Lover's® Garlic Parmesan, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99,146,300,90,10,25,790,40,2,6,13,
"Meat Lover's® Garlic Parmesan, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99,154,440,210,23,60,1290,39,2,5,20,
"Pepperoni Lover's® Garlic Parmesan, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99,141,410,170,19,55,1170,39,2,5,19,
"Hawaiian Luau Garlic Parmesan, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99,141,340,120,13,35,970,41,2,7,16,
"Dan's Original Garlic Parmesan, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99,149,380,150,17,40,980,39,2,5,17,
"Triple Meat Italiano Garlic Parmesan, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99,140,380,160,17,45,1100,39,2,5,18,
"Spicy Sicilian Garlic Parmesan, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99,143,360,140,15,40,1080,40,2,6,16,
"Ultimate Cheese Lover's Garlic Parmesan, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99,120,360,140,15,40,880,38,2,5,16,
"Cheese Only, 14"" Large Stuffed Crust Pizza (1 slice = 1/8 pizza)",16.99,132,340,120,14,40,900,39,2,6,16,
"Pepperoni, 14"" Large Stuffed Crust Pizza (1 slice = 1/8 pizza)",21.99,134,370,150,17,45,1040,39,2,5,17,
"Supreme, 14"" Large Stuffed Crust Pizza (1 slice = 1/8 pizza)",21.99,163,420,180,20,55,1120,40,2,6,19,
"Pepperoni & Mushroom, 14"" Large Stuffed Crust Pizza (1 slice = 1/8 pizza)",21.99,142,350,130,14,40,930,39,2,6,16,
"Italian Sausage & Red Onion, 14"" Large Stuffed Crust Pizza (1 slice = 1/8 pizza)",21.99,153,390,160,17,45,970,41,2,6,17,
"Ham & Pineapple, 14"" Large Stuffed Crust Pizza (1 slice = 1/8 pizza)",21.99,143,330,110,12,40,940,41,2,7,15,
"Veggie Lover's®, 14"" Large Stuffed Crust Pizza (1 slice = 1/8 pizza)",21.99,155,330,110,12,35,880,41,2,6,15,
"Meat Lover's®, 14"" Large Stuffed Crust Pizza (1 slice = 1/8 pizza)",21.99,165,480,230,26,70,1380,39,2,6,22,
"Pepperoni Lover's®, 14"" Large Stuffed Crust Pizza (1 slice = 1/8 pizza)",21.99,149,430,190,21,60,1230,40,2,6,20,
"Hawaiian Luau, 14"" Large Stuffed Crust Pizza (1 slice = 1/8 pizza)",21.99,151,380,140,16,45,1050,41,2,7,17,
"Dan's Original, 14"" Large Stuffed Crust Pizza (1 slice = 1/8 pizza)",21.99,159,410,180,20,50,1080,40,2,6,19,
"Triple Meat Italiano, 14"" Large Stuffed Crust Pizza (1 slice = 1/8 pizza)",21.99,151,420,180,20,55,1190,39,2,6,20,
"Spicy Sicilian, 14"" Large Stuffed Crust Pizza (1 slice = 1/8 pizza)",21.99,153,390,160,18,50,1160,40,2,6,17,
"Ultimate Cheese Lover's, 14"" Large Stuffed Crust Pizza (1 slice = 1/8 pizza)",21.99,127,380,160,17,45,940,38,1,5,17,
"Cheese Only, 6"" Personal Pan Pizza® (Whole Pizza)",4.99,207,590,210,24,55,1290,69,3,7,26,
"Pepperoni, 6"" Personal Pan Pizza® (Whole Pizza)",4.99,201,610,240,26,55,1410,67,3,6,26,
"Supreme, 6"" Personal Pan Pizza® (Whole Pizza)",5.99,256,720,320,36,80,1680,69,4,7,30,
"Pepperoni & Mushroom, 6"" Personal Pan Pizza® (Whole Pizza)",5.99,214,570,200,23,45,1250,68,4,7,24,
"Italian Sausage & Red Onion, 6"" Personal Pan Pizza® (Whole Pizza)",5.99,244,690,290,32,65,1440,71,4,8,28,
"Ham & Pineapple, 6"" Personal Pan Pizza® (Whole Pizza)",5.99,215,550,180,20,45,1260,71,3,9,23,
"Veggie Lover's®, 6"" Personal Pan Pizza® (Whole Pizza)",5.99,233,550,180,20,35,1190,70,4,8,22,
"Meat Lover's®, 6"" Personal Pan Pizza® (Whole Pizza)",5.99,263,830,410,46,100,2110,68,3,7,36,
"Pepperoni Lover's®, 6"" Personal Pan Pizza® (Whole Pizza)",5.99,230,720,310,34,85,1760,69,3,7,32,
"Hawaiian Luau, 6"" Personal Pan Pizza® (Whole Pizza)",5.99,227,620,230,25,55,1440,71,3,9,26,
"Dan's Original, 6"" Personal Pan Pizza® (Whole Pizza)",5.99,251,720,320,36,75,1600,69,4,7,31,
"Triple Meat Italiano, 6"" Personal Pan Pizza® (Whole Pizza)",5.99,239,730,330,36,80,1770,68,3,6,32,
"Spicy Sicilian, 6"" Personal Pan Pizza® (Whole Pizza)",5.99,245,680,290,32,70,1730,69,4,7,29,
"Ultimate Cheese Lover's, 6"" Personal Pan Pizza® (Whole Pizza)",5.99,207,660,270,30,65,1400,68,3,6,29,
"Classic, P'Zone® Pizza (1/2 order)",5.99,173,470,150,16,40,1070,61,2,3,20,
"Pepperoni, P'Zone® Pizza (1/2 order)",5.99,158,450,140,15,40,1120,60,2,2,19,
"Meaty, P'Zone® Pizza (1/2 order)",5.99,187,550,210,23,55,1370,61,2,2,24,
"Chicken Alfredo, Tuscani Pastas (1/2 pan)",8.99,282,580,290,32,50,1250,49,4,4,23,
"Meaty Marinara, Tuscani Pastas (1/2 pan)",8.99,272,450,180,20,70,1100,44,5,8,22,
"Cheese Only, 9"" Personal PANormous™ Pizza (Whole Pizza)",5.99,381,1100,410,45,105,2400,124,6,10,48,
"Pepperoni, 9"" Personal PANormous™ Pizza (Whole Pizza)",5.99,367,1100,430,48,100,2540,121,6,9,47,
"Supreme, 9"" Personal PANormous™ Pizza (Whole Pizza)",5.99,462,1270,560,62,130,2920,125,7,11,54,
"Pepperoni & Mushroom, 9"" Personal PANormous™ Pizza (Whole Pizza)",5.99,397,1050,380,42,85,2290,123,7,10,45,
"Italian Sausage & Red Onion, 9"" Personal PANormous™ Pizza (Whole Pizza)",5.99,440,1210,500,56,110,2550,128,7,12,50,
"Ham & Pineapple, 9"" Personal PANormous™ Pizza (Whole Pizza)",5.99,399,1020,330,37,80,2300,128,6,14,43,
"Veggie Lover's®, 9"" Personal PANormous™ Pizza (Whole Pizza)",5.99,439,1010,340,38,70,2240,127,8,12,42,
"Meat Lover's®, 9"" Personal PANormous™ Pizza (Whole Pizza)",5.99,465,1470,720,80,175,3670,123,6,10,64,
"Pepperoni Lover's®, 9"" Personal PANormous™ Pizza (Whole Pizza)",5.99,457,1290,560,62,150,3160,124,6,10,59,
"Hawaiian Luau, 9"" Personal PANormous™ Pizza (Whole Pizza)",5.99,423,1150,440,49,105,2670,129,6,14,49,
"Dan's Original, 9"" Personal PANormous™ Pizza (Whole Pizza)",5.99,452,1270,560,62,125,2810,124,7,10,55,
"Triple Meat Italiano, 9"" Personal PANormous™ Pizza (Whole Pizza)",5.99,424,1280,560,62,135,3070,123,6,9,56,
"Spicy Sicilian, 9"" Personal PANormous™ Pizza (Whole Pizza)",5.99,439,1220,520,57,115,3150,126,7,11,51,
"Ultimate Cheese Lover's, 9"" Personal PANormous™ Pizza (Whole Pizza)",5.99,374,1200,510,56,120,2560,121,5,9,53,
"Stuffed Pizza Rollers, Stuffed Pizza Rollers (Each)",5.5,76,220,90,10,25,580,24,1,3,10,
"Ranch Dipping Sauce (1.5 oz), Stuffed Pizza Rollers (Each)",0.77,43,220,210,23,10,420,2,0,1,0,
"Marinara Dipping Sauce (3 oz), Stuffed Pizza Rollers (Each)",0.77,85,60,0,0,0,440,12,2,9,2,
Baked Hot Wings (6 pieces),8.99,132,300,180,18,165,1290,3,0,0,30,
Baked Mild Wings (6 pieces),8.99,132,330,180,21,165,1290,3,0,0,30,
Wing Ranch Dipping Sauce (1.5 oz),0.77,43,220,210,23,10,420,2,0,1,0,
Wing Blue Cheese Dipping Sauce (1.5 oz),0.77,43,230,210,24,20,420,2,0,2,1,
Breadsticks (each),5.99,220,700,225,25,0,1300,95,5,10,25,
Cheese Breadsticks (5 pieces),5.29,280,850,300,30,75,1950,100,5,10,40,
Marinara Dipping Sauce (3 oz),0.77,85,60,0,0,0,440,12,2,9,2,
Cinnamon Sticks (2 pieces),6.99,55,160,40,4.5,0,210,26,1,8,4,
White Icing Dipping Cup (2 oz),0.75,57,170,0,0,0,5,44,0,38,0,
HERSHEY'S® Chocolate Dunkers® (2 pieces),5.49,60,190,70,8,0,220,27,2,9,5,
"All American, Bone Out Wings (8 pieces)",8.95,216,600,280,32,80,1960,44,4,0,40,
"Buffalo Mild, Bone Out Wings (8 pieces)",8.95,292,760,320,36,80,4080,72,4,8,40,
"Buffalo Medium, Bone Out Wings (8 pieces)",8.95,292,760,320,36,80,3960,72,4,8,40,
"Buffalo Burnin Hot, Bone Out Wings (8 pieces)",8.95,292,760,320,32,80,4000,72,4,8,40,
"Honey BBQ, Bone Out Wings (8 pieces)",8.95,328,880,280,32,80,2880,108,4,48,40,
"Spicy Asian, Bone Out Wings (8 pieces)",8.95,320,840,280,32,80,2760,96,4,52,40,
"Garlic Parmesan, Bone Out Wings (8 pieces)",8.95,284,1040,680,76,80,2840,44,4,44,44,
"Spicy BBQ, Bone Out Wings (8 pieces)",8.95,324,800,280,32,100,3760,84,4,44,44,
"Lemon Pepper, Bone Out Wings (8 pieces)",8.95,288,880,440,48,80,2480,72,4,28,40,
"All American, Crispy Bone In Wings* (8 pieces)",8.95,220,200,130,14,45,500,8,1,0,9,
"Buffalo Mild, Crispy Bone In Wings* (8 pieces)",8.95,300,920,520,60,180,4160,64,4,8,36,
"Buffalo Medium, Crispy Bone In Wings* (8 pieces)",8.95,300,920,520,60,180,4040,64,8,8,36,
"Buffalo Burnin Hot, Crispy Bone In Wings* (8 pieces)",8.95,300,920,520,60,180,4080,64,4,8,36,
"Honey BBQ, Crispy Bone In Wings* (8 pieces)",8.95,332,1040,520,56,180,2960,96,4,48,40,
"Spicy Asian, Crispy Bone In Wings* (8 pieces)",8.95,328,1000,520,56,180,2840,84,4,52,40,
"Garlic Parmesan, Crispy Bone In Wings* (8 pieces)",8.95,288,1200,920,100,180,2920,36,4,4,40,
"Spicy BBQ, Crispy Bone In Wings* (8 pieces)",8.95,328,960,520,56,200,3800,76,4,44,36,
"Lemon Pepper, Crispy Bone In Wings* (8 pieces)",8.95,292,1080,680,76,180,2560,64,4,28,36,
"All American, Traditional Wings* (8 pieces)",8.95,156,320,180,20,160,1160,0,0,0,28,
"Buffalo Mild, Traditional Wings* (8 pieces)",8.95,236,440,200,24,160,3320,32,4,8,32,
"Buffalo Medium, Traditional Wings* (8 pieces)",8.95,236,440,200,24,160,3200,32,4,8,32,
"Buffalo Burnin Hot, Traditional Wings* (8 pieces)",8.95,236,440,200,24,160,3240,32,4,8,32,
"Honey BBQ, Traditional Wings* (8 pieces)",8.95,268,560,180,20,160,2120,64,0,48,32,
"Spicy Asian, Traditional Wings* (8 pieces)",8.95,260,520,180,20,160,2000,52,0,52,32,
"Garlic Parmesan, Traditional Wings* (8 pieces)",8.95,224,720,600,64,180,2080,4,0,4,32,
"Spicy BBQ, Traditional Wings* (8 pieces)",8.95,264,480,180,20,180,3000,44,0,44,32,
"Lemon Pepper, Traditional Wings* (8 pieces)",8.95,228,600,360,40,160,1720,32,0,28,32,
Apple Pie (2 pies),4.99,348,1320,640,68,0,760,160,8,80,8,
Fried Cheese Sticks (4 pcs),7.99,476,1520,880,96,160,4080,116,8,12,52,
Wedge Fries (side order),2.99,492,1280,640,72,0,2120,140,12,0,16,
Mountain Dew®,2.29,454,220,0,0,0,70,58,0,58,0,
Mountain Dew,2.56,624,300,0,0,0,100,80,0,80,0,
Mountain Dew,3.83,907,440,0,0,0,140,116,0,116,0,
Pepsi®,2.29,454,200,0,0,0,50,56,0,54,0,
Pepsi,2.56,624,280,0,0,0,70,77,0,74,0,
Pepsi,3.83,907,400,0,0,0,100,112,0,108,0,
Diet Pepsi®,2.29,454,0,0,0,0,50,0,0,0,0,
Diet Pepsi,2.56,624,0,0,0,0,70,0,0,0,0,
Diet Pepsi,3.83,907,0,0,0,0,100,0,0,0,0,
Sierra Mist®,2.29,454,200,0,0,0,40,54,0,54,0,
Sierra Mist,2.56,624,275,0,0,0,60,74,0,74,0,
Sierra Mist,3.38,907,400,0,0,0,80,108,0,108,0,
Enchilidas Verdas o Rojas,8.99,216.7,210,8.9,4.9,56,428.6,14.6,1.8,1.4,19.4,
Flautas,8.99,190,78,10,4,26,120,16,2,0,8,"took average of saturated, cholesterol"
Chile Verde o Rojo,8.99,196,100,6,2,27,1128,21,6,5.6,15,took average of sugars
Carne con Chile,8.99,190,181,8,2.5,30,620,17,4,6,12,
Chille Rellenos,8.99,405,369,13,0,45,817,52,0,4,17,took average of sugars
Pollo Asado/Grilled Chicken,8.99,110,85,5,1,70,410,1,0,0,14,
Carne Asada,9.99,316,113,18,6,104,237,1,0,0,34,took average of sugars
Costillas en Salsa Verde o Roja,8.99,303,118,18,1.6,43,193,17,6,0,18,"took average of saturated fat, sugars, protein"
Huevos Rancheros,7.49,327.3,218,8.2,2.8,216.9,1391.1,37.3,7.7,1.2,26.3,
Huevos a la Mexicana,7.49,545,392,44,15,775,973,9.6,2.4,5.6,27,
Huevos con Chorizo,7.49,739.3,404,37.7,12.6,437.1,1521.8,63,8.9,3.6,34.3,
Chilaquiles Rojos o Verdes,8.99,443,450,32,9,0,0,31,0,5,9,
Steak & Eggs,9.99,539,225,40,15,497,828,0.7,0,0.4,42,
Menudo,11.99,130,240,5,2,21,1661,30,6,4,17,"took average of calories, cholesterol"
Pozole Soup,11.99,313,240,14,5,95,428,16,2,3,30,
Caldo de Rez Soup,11.99,173,240,4.2,1.4,44,412,13,3.6,15.6,21.4,took average of sugars
Caldo de Pollo/Chicken Soup,11.99,87,240,2.9,0.8,7,343,8,0,3.8,6,
Caldo de Camaron/Shrimp Soup,11.99,206,240,3,1,42.9,619,22,3.9,1.9,17.3,"took average of saturated fat, cholesterol, dietary fiber, sugars, protein"
Asada/Steak Fajitas,11.99,540,532,22,8,80,620,50,3,6,31,
Pollo/Chicken Fajitas,11.99,450,379.98,21,3,135,1920,21,3,12,42,
Camaron/Shrimp Fajitas,11.99,153.6,284,0.1,0,0,1.7,5.2,1.5,0,0.7,
Pescado Frito/ Fried Fish,12.99,326,100,21.36,3.834,83,1444,8.39,1.7,3.9,25.18,
Coctel De Caamaron/Shrimp Cocktail,11.99,315,140,12,2,221,944,29,10,14,29,
Camarones a la diabla,11.99,525,128,22,5,586,950,13,2,3,63,
Camarones a la Plancha,11.99,182,112,5,0,172,903,8,1,0,24,
Camarones al Ajo,11.99,252,141,15,5.1,229,1228,4.4,0.2,0.4,24,
Camarones Espanizados,11.99,245,100,12,2,183,487,11,0,0,38,took average of protein
Asada/Steak Taco,1.49,197,69,8.9,2.4,42,135,13,2.6,0.8,16,
Lengua/Tongue Taco,1.49,390,57,27.5,5.6,71,83,23,3.4,1,13.3,
Carnitas/Fried Pork Taco,1.49,213,85,9.57,4.54,42.5,690.18,16.06,0.54,1.07,16.34,
Cabeza/Head Taco,1.49,130,57,5,2,0,150,13,0,13,8,"took average of cholesterol, sugars"
Pastor/Spicy Pork Taco,1.49,180,68,10,3,60,710,4,1,0,19,
Molida/Ground Beef Taco,1.49,260,132,13,5,50,550,17,1,1,17,
Pollo/Chicken Taco,1.49,184,120,6.2,2.5,28,213,19,1.2,1.3,13,
Tripas Taco,1.49,190,71,11,5,0,410,13,0,0,0,
Pescado/Fish Taco,1.49,244,121,12,4.1,43,326,18,1.5,1.4,16,
Camaron/Shrimp Taco,1.49,239,100,11,3.9,121,777,19,1.5,1.4,15,
Chile Verde o Roto Taco,1.49,332.5,100,8.5,2.1,36.1,680.9,42.5,3,2.4,20.2,
Asada/Steak Crispy Taco,2.49,290,69,17,4,35,640,20,2,2,13,took average of sugars
Lengua/Tongue Crispy Taco,2.49,390,80,27.5,5.6,71,83,23,3.4,1,13.3,
Carnitas/Fried Pork Crispy Taco,2.49,200,85,14,6,55,330,0,0,0,20,
Cabeza/Head Crispy Taco,2.49,130,57,5,2,40,150,13,0,0,8,"took average of cholesterol, sugars"
Pastor/Spicy Pork Crispy Taco,2.49,280,85,18.36,5.012,50,233,14.18,2.4,0.75,14.98,
Molida/Ground Beef Crispy Taco,2.49,260,96.39,14,5,50,330,15,2,1,16,
Pollo/Chicken Crispy Taco,2.49,190,119.07,8,2.5,40,380,16,2,1,12,
Tripas Crispy Taco,2.49,143,116,5,2,138,543,24.1,3.3,1,8.6,"took average of carbohydrates, dietary fiber, sugars, protein"
Pescado/Fish Crispy Taco,2.49,127.5,131,3.4,0.6,27.5,80,12.1,1.7,0.3,12.8,
Camaron/Shrimp Crispy Taco,2.49,152.8,123,5.2,2,61.5,252.6,17.8,3,2.3,9.9,
Chile Verde o Roto Crispy Taco,2.49,110,243.81,7,3,25,390,2,0,0,9,
Lengua/Tongue Burrito,7.99,800,255,39,16,0,790,48,0,0,13.3,took average of protein
Carnitas/Fried Pork Burrito,7.99,978,140,38,19.7,113.75,2430.86,87.82,4.53,3.33,38.78,
Cabeza/Head Burrito,7.99,510,200,22,11,55,1290,55,2,3,26,
Pastor/Spicy Pork Burrito,7.99,720,298,28,9,80,1270,85,0,31,25,"took average of cholesterol, fiber, protein"
Molida/Ground Beef Burrito,7.99,317.9,179,18.2,6.9,54.1,672.9,21.5,2.3,1.2,15.9,
Pollo/Chicken Burrito,7.99,1268.25,452,68.34,19.03,106.5,2861,82.41,9.48,1.29,51.93,
Tripas Burrito,7.99,760,291,36,18,0,1770,70,0,0,39,
Pescado/Fish Burrito,7.99,999,228,31,9.5,102,1536,131,19,5.2,50,
Camaron/Shrimp Burrito,7.99,880,463,41,19,260,3020,80,8,5,49,
Chile Verde o Roto Burrito,7.99,874,198.45,35.2,14.1,88,1944,99.5,1.3,1.6,38.3,
Chimichanga,8.99,553,183,20,9,9,910,43,2,1,20,
Wet Burrito,8.99,416,506,21.6,11.2,78.5,1018,78.5,3.1,0.3,27.2,"took average of calories, total fat, saturated fat, cholesterol, sodium, total carbohydrates, dietary fiber, sugars, protein"
Tortas/Sandwich,7.99,358,85,7.6,0,0,98,23,3.8,10,9,"took average of total fat, saturated fat, cholesterol, sodium, total carbohydrates, dietary fiber, sugars, protein"
Nachos,8.99,731,280,44.1,25.21,90,3048.75,52.91,6.18,9,25,took average of protein
Tostadas,2.49,221,78,12.65,3.924,31,462,16.2,2.1,0.47,10.88,
Lengua/Tongue Quesadilla,7.99,1020,326,64,7,0,2010,57,0,0,54,
Carnitas/Fried Pork Quesadilla,7.99,397.4,155,23.1,9.7,79.2,920.5,13.5,8,0.5,36.6,
Cabeza/Head  Quesadilla,7.99,990,326,60,6,0,2110,57,0,0,55,
Pastor/Spicy Pork Quesadilla,7.99,1040,494,65,7,0,2260,58,0,0,55,
Molida/Ground Beef  Quesadilla,7.99,514,100,38,13,63,845,42,1,3,22,
Pollo/Chicken Quesadilla,7.99,510,190,28,12,75,1210,38,4,3,27,
Tripas  Quesadilla,7.99,1070,326,72,39,0,2420,48,0,0,58,
Pescado/Fish  Quesadilla,7.99,750,308,37,16,105,1660,69,3,2,35,
Camaron/Shrimp  Quesadilla,7.99,400,446,20,7,130,500,33,4,4,22,
Chile Verde o Roto  Quesadilla,7.99,460,114,17,8,75,860,41,0,1,32,